Path,Server,Location,Branch,SubBranch,ControlProgram,Point,Zone,BacnetAddress,BacnetDevId,BacnetObjectType,PointType,ComponentId,PathMappingsId
#1c1a_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1A,"Zone Temp",4,20606:41,423,BAV,3,22,7
#1c1a_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1A,"Supply Air",4,20606:41,117,BAV,3,22,6
#1c1b_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1B,"Air Flow Feedback",4,20606:41,121,BAV,3,23,2
#1c1b_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1B,"Room Occupied",4,20606:41,769,BBV,3,23,5
#1c1b_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1B,"htg setpt",4,20606:41,143,BAV,3,23,4
#1c1b_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1B,"clg setpt",4,20606:41,142,BAV,3,23,3
#1c1b_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1B,"Zone Temp",4,20606:41,424,BAV,3,23,7
#1c1b_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1B,"Supply Air",4,20606:41,130,BAV,3,23,6
#1c1c_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1C,"Air Flow Feedback",4,20606:41,134,BAV,3,24,2
#1c1c_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1C,"Room Occupied",4,20606:41,776,BBV,3,24,5
#1c1c_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1C,"htg setpt",4,20606:41,149,BAV,3,24,4
#1c1c_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1C,"clg setpt",4,20606:41,148,BAV,3,24,3
#1c1c_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1C,"Zone Temp",4,20606:41,425,BAV,3,24,7
#1c1c_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C1C,"Supply Air",4,20606:41,1163,BAV,3,24,6
#1c6a_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6A,"Air Flow Feedback",4,20606:41,1167,BAV,3,25,2
#1c6a_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6A,"Room Occupied",4,20606:41,783,BBV,3,25,5
#1c6a_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6A,"htg setpt",4,20606:41,155,BAV,3,25,4
#1c6a_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6A,"clg setpt",4,20606:41,154,BAV,3,25,3
#1c6a_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6A,"Zone Temp",4,20606:41,426,BAV,3,25,7
#1c6a_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6A,"Supply Air",4,20606:41,1176,BAV,3,25,6
#1c6b_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6B,"Air Flow Feedback",4,20606:41,1180,BAV,3,26,2
#1c6b_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6B,"Room Occupied",4,20606:41,790,BBV,3,26,5
#1c6b_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6B,"htg setpt",4,20606:41,161,BAV,3,26,4
#1c6b_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6B,"clg setpt",4,20606:41,160,BAV,3,26,3
#1c6b_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6B,"Zone Temp",4,20606:41,427,BAV,3,26,7
#1c6b_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6B,"Supply Air",4,20606:41,1189,BAV,3,26,6
#1c6c_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6C,"Air Flow Feedback",4,20606:41,1193,BAV,3,27,2
#1c6c_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6C,"Room Occupied",4,20606:41,797,BBV,3,27,5
#1c6c_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6C,"htg setpt",4,20606:41,167,BAV,3,27,4
#1c6c_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6C,"clg setpt",4,20606:41,166,BAV,3,27,3
#1c6c_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6C,"Zone Temp",4,20606:41,428,BAV,3,27,7
#1c6c_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6C,"Supply Air",4,20606:41,1202,BAV,3,27,6
#1c6d_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6D,"Air Flow Feedback",4,20606:41,1206,BAV,3,28,2
#1c6d_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6D,"Room Occupied",4,20606:41,804,BBV,3,28,5
#1c6d_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",1C6D,"htg setpt",4,20606:41,173,BAV,3,28,4
